Label,Layer #,Scaffold #,wt% PPF,Spacing (mm),Speed (mm/s),Pressure (bar),Mean fiber,Mean pore,Mean spacing,Fiber Size (x1),x2,x3,x4,x5,Pore Size (x1),x2 2,x3 2,x4 2,x5 2,Fiber spacing (x1),Spacing x2,Spacing x3,Spacing x4,Spacing x5,Std wt% PPF,Std Spacing (mm),Std Speed (mm/s),Std Pressure (bar),Std Mean fiber,Std Mean pore,Std Mean spacing,Linear pore size,Quadratic pore size,Linear fiber diameter,Quadratic fiber diameter,4th order pore,4th order fiber,"Pore (lin, step)","Fiber (lin, step)","Pore (quad, step)","Fiber (quad, step)","Sum (lin, step)","Sum (quad, step)"
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",1,1,85,1.2,5,2,0.7326,0.423,1.1556,0.747,0.711,0.738,0.72,0.747,0.45,0.432,0.423,0.387,0.423,1.197,1.143,1.161,1.107,1.17,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,1.8099197878,-0.1603219916,1.1515585297,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",1,2,85,1.2,5,2,0.6714,0.468,1.1394,0.657,0.648,0.684,0.666,0.702,0.486,0.459,0.459,0.468,0.468,1.143,1.107,1.143,1.134,1.17,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,1.4119791151,0.0422896706,1.0703595947,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",1,3,85,1.2,5,2,0.5274,0.6174,1.1448,0.513,0.558,0.477,0.567,0.522,0.585,0.657,0.612,0.657,0.576,1.098,1.215,1.089,1.224,1.098,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.4756481205,0.7149603888,1.0974259064,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",1,4,85,1.2,5,2,0.27,0.8766,1.1466,0.306,0.234,0.315,0.225,0.27,0.846,0.927,0.828,0.909,0.873,1.152,1.161,1.143,1.134,1.143,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,-1.1980435323,1.8820035628,1.1064480103,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",2,1,85,1.2,5,2,0.4644,0.6642,1.1286,0.414,0.477,0.459,0.468,0.504,0.684,0.675,0.648,0.639,0.675,1.098,1.152,1.107,1.107,1.179,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.0660033104,0.9256765175,1.0162269715,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",2,2,85,1.2,5,2,0.4986,0.648,1.1466,0.45,0.495,0.513,0.495,0.54,0.666,0.657,0.666,0.639,0.612,1.116,1.152,1.179,1.134,1.152,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.2883819216,0.8527363191,1.1064480103,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",2,3,85,1.2,5,2,0.6228,0.5058,1.1286,0.639,0.621,0.612,0.639,0.603,0.459,0.522,0.495,0.558,0.495,1.098,1.143,1.107,1.197,1.098,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,1.0959674044,0.2124834667,1.0162269715,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",2,4,85,1.2,5,2,0.7596,0.4068,1.1664,0.747,0.747,0.783,0.738,0.783,0.387,0.423,0.396,0.423,0.405,1.134,1.17,1.179,1.161,1.188,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,1.9854818493,-0.23326219,1.2056911529,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",3,1,85,1.2,5,2,0.5688,0.5526,1.1214,0.63,0.576,0.549,0.549,0.54,0.504,0.522,0.567,0.567,0.603,1.134,1.098,1.116,1.116,1.143,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.7448432815,0.4231995954,0.9801385559,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",3,2,85,1.2,5,2,0.5688,0.5832,1.152,0.603,0.54,0.558,0.558,0.585,0.585,0.603,0.585,0.585,0.558,1.188,1.143,1.143,1.143,1.143,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.7448432815,0.5609755256,1.1335143219,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",3,3,85,1.2,5,2,0.5706,0.5742,1.1448,0.54,0.567,0.558,0.603,0.585,0.621,0.594,0.558,0.558,0.54,1.161,1.161,1.116,1.161,1.125,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.7565474189,0.5204531932,1.0974259064,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",3,4,85,1.2,5,2,0.5868,0.5562,1.143,0.585,0.585,0.585,0.621,0.558,0.585,0.549,0.558,0.54,0.549,1.17,1.134,1.143,1.161,1.107,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.8618846558,0.4394085283,1.0884038025,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
"85:15 PPF:DEF, 2bar, 5mm/s, 1.2mm",4,1,85,1.2,5,2,0.4968,0.6372,1.134,0.423,0.468,0.54,0.531,0.522,0.666,0.657,0.621,0.603,0.639,1.089,1.125,1.161,1.134,1.161,-0.7253025041,1.1746092977,-0.8062444689,-1.295163493,0.2766777842,0.8041095202,1.0432932831,0.6208700207,0.617259665,0.6692991056,0.494049446,0.5870880052,0.5703085966,0.630165556,0.489412968,0.662163761,0.474574109,1.119578524,1.13673787
